PrimaryKey,Sire,Dam,Sex,Color,Year,Country,Family,DP,DI,CD,Starts,Wins,Places,Shows,CareerEarnings,Owner,Breeder,StateBred,WinningsText,Details,URL,Horse Name,SubjectInfoText
affirmed,exclusive+native,wont+tell+you,H,ch,1975,USA,23-b,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/affirmed,AFFIRMED (USA),
amanda,grey+diomed2,virginia+cade+mare,M,ch,1800,USA,31,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/amanda,AMANDA (USA),
american+eclipse,duroc,millers+damsel,H,ch,1814,USA,3,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/american+eclipse,AMERICAN ECLIPSE (USA),
bernstein,storm+cat,la+affirmed,H,dkb/br,1997,USA,1-x,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/bernstein,BERNSTEIN (USA),
blank,godolphin+arabian,amorett,H,b,1740,GB,15,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/blank,BLANK (GB),
cosmah,cosmic+bomb,almahmoud,M,b,1953,USA,2-d,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/cosmah,COSMAH (USA),
crab,alcocks+arabian,sister+to+soreheels,H,gr,1722,GB,9-a,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/crab,CRAB (GB),
crimson+saint,crimson+satan,bolero+rose,M,ch,1969,USA,8-c,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/crimson+saint,CRIMSON SAINT (USA),
cygnet+mare,cygnet2,young+cartouch+mare2,M,gr,1761,GB,5,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/cygnet+mare,CYGNET MARE (GB),
cygnet2,godolphin+arabian,godolphin+blossom,H,gr,1753,GB,6,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/cygnet2,CYGNET (GB),
cypron2,blaze,salome5,M,b,1750,GB,26,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/cypron2,CYPRON (GB),
diomed,florizel,sister+to+juno,H,ch,1777,GB,6-b,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/diomed,DIOMED (GB),
duroc,diomed,amanda,H,ch,1806,USA,31,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/duroc,DUROC (USA),
eclipse26,american+eclipse,,H,ch,1822,USA,,0-0-0-0-0 (0),,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/eclipse26,ECLIPSE (USA),"first called Ivanhoe, which see
often identified as Long's Eclipse"
exclusive+native,raise+a+native,exclusive,H,ch,1965,USA,10-a,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/exclusive+native,EXCLUSIVE NATIVE (USA),
finance,nasrullah,busanda,M,br,1955,USA,1-x,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/finance,FINANCE (USA),
florizel,herod,cygnet+mare,H,b,1768,GB,5,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/florizel,FLORIZEL (GB),
gimcrack+mare,gimcrack,snapdragon3,M,b,1778,GB,3,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/gimcrack+mare,GIMCRACK MARE (GB),
grey+diomed2,medley,sloe+mare,H,gr,1786,USA,a48,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/grey+diomed2,GREY DIOMED (USA),
hail+to+reason,turn-to,nothirdchance,H,br,1958,USA,4-n,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/hail+to+reason,HAIL TO REASON (USA),
