PrimaryKey,URL,RaceDataJSON
admiral+vee,https://www.pedigreequery.com/admiral+vee,"[{""comment"":""12-1"",""country"":""UNITED STATES"",""dam"":{""name"":"""",""pk"":"""",""url"":""""},""distance"":""9.5 F"",""family"":"""",""grade"":"""",""horse_name"":""ADMIRAL VEE"",""horse_pk"":""admiral+vee"",""placing"":2,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""ADMIRAL VEE"",""pk"":""admiral+vee"",""url"":""https://www.pedigreequery.com/admiral+vee""},""series_grade"":""Grade II"",""sire"":{""name"":"""",""pk"":"""",""url"":""""},""surface"":""Dirt"",""third"":{""name"":""TICK TOCK2"",""pk"":""tick+tock2"",""url"":""https://www.pedigreequery.com/tick+tock2""},""time"":""1:55.20"",""track"":""BELMONT PARK, NY"",""trainer"":"""",""winner"":{""name"":""PORTERSVILLE"",""pk"":""portersville"",""url"":""https://www.pedigreequery.com/portersville""},""year"":""1957""}]"
admiralty2,https://www.pedigreequery.com/admiralty2,"[{""comment"":"""",""country"":""UNITED STATES"",""dam"":{""name"":"""",""pk"":"""",""url"":""""},""distance"":""9 F"",""family"":"""",""grade"":""Grade II"",""horse_name"":""ADMIRALTY2"",""horse_pk"":""admiralty2"",""placing"":3,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""MAHOGANY HALL"",""pk"":""mahogany+hall"",""url"":""https://www.pedigreequery.com/mahogany+hall""},""series_grade"":""Grade II"",""sire"":{""name"":"""",""pk"":"""",""url"":""""},""surface"":""Dirt"",""third"":{""name"":""ADMIRALTY2"",""pk"":""admiralty2"",""url"":""https://www.pedigreequery.com/admiralty2""},""time"":""1:46.78"",""track"":""BELMONT PARK, NY"",""trainer"":"""",""winner"":{""name"":""WEKIVA SPRINGS"",""pk"":""wekiva+springs"",""url"":""https://www.pedigreequery.com/wekiva+springs""},""year"":""1996""}]"
advance+guard4,https://www.pedigreequery.com/advance+guard4,"[{""comment"":""NK"",""country"":""UNITED STATES"",""dam"":{""name"":"""",""pk"":"""",""url"":""""},""distance"":""10 F"",""family"":"""",""grade"":"""",""horse_name"":""ADVANCE GUARD4"",""horse_pk"":""advance+guard4"",""placing"":2,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""ADVANCE GUARD4"",""pk"":""advance+guard4"",""url"":""https://www.pedigreequery.com/advance+guard4""},""series_grade"":""Grade II"",""sire"":{""name"":"""",""pk"":"""",""url"":""""},""surface"":""Dirt"",""third"":{""name"":""PENTECOST2"",""pk"":""pentecost2"",""url"":""https://www.pedigreequery.com/pentecost2""},""time"":""2:07.00"",""track"":""GRAVESEND, NY"",""trainer"":"""",""winner"":{""name"":""REINA8"",""pk"":""reina8"",""url"":""https://www.pedigreequery.com/reina8""},""year"":""1902""}]"
albert+the+great,https://www.pedigreequery.com/albert+the+great,"[{""comment"":""TRACK: FAST"",""country"":""UNITED STATES"",""dam"":{""name"":""BRIGHT FEATHER"",""pk"":""bright+feather"",""url"":""https://www.pedigreequery.com/bright+feather""},""distance"":""9 F"",""family"":""16-h"",""grade"":""Grade II"",""horse_name"":""ALBERT THE GREAT"",""horse_pk"":""albert+the+great"",""placing"":1,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""PERFECT CAT"",""pk"":""perfect+cat"",""url"":""https://www.pedigreequery.com/perfect+cat""},""series_grade"":""Grade II"",""sire"":{""name"":""GO FOR GIN"",""pk"":""go+for+gin"",""url"":""https://www.pedigreequery.com/go+for+gin""},""surface"":""Dirt"",""third"":{""name"":""TOP OFFICIAL"",""pk"":""top+official"",""url"":""https://www.pedigreequery.com/top+official""},""time"":""1:47.41"",""track"":""BELMONT PARK, NY"",""trainer"":""NICHOLAS P. ZITO"",""winner"":{""name"":""ALBERT THE GREAT"",""pk"":""albert+the+great"",""url"":""https://www.pedigreequery.com/albert+the+great""},""year"":""2001""}]"
alcomo,https://www.pedigreequery.com/alcomo,"[{""comment"":""NO 10-1 OVER 19-1"",""country"":""UNITED STATES"",""dam"":{""name"":""AMAZING SINGER"",""pk"":""amazing+singer"",""url"":""https://www.pedigreequery.com/amazing+singer""},""distance"":""12 F"",""family"":""9-h"",""grade"":""Grade II"",""horse_name"":""ALCOMO"",""horse_pk"":""alcomo"",""placing"":1,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""GABRIELS HILL"",""pk"":""gabriels+hill"",""url"":""https://www.pedigreequery.com/gabriels+hill""},""series_grade"":""Grade II"",""sire"":{""name"":""RAINBOW CORNER"",""pk"":""rainbow+corner"",""url"":""https://www.pedigreequery.com/rainbow+corner""},""surface"":""Dirt"",""third"":{""name"":""ELDAAFER"",""pk"":""eldaafer"",""url"":""https://www.pedigreequery.com/eldaafer""},""time"":""2:30.07"",""track"":""BELMONT PARK, NY"",""trainer"":""EDUARDO CARAMORI"",""winner"":{""name"":""ALCOMO"",""pk"":""alcomo"",""url"":""https://www.pedigreequery.com/alcomo""},""year"":""2010""}]"
alma+doro,https://www.pedigreequery.com/alma+doro,"[{""comment"":""BY 3 3/4 L. TRAINER 1-2"",""country"":""UNITED STATES"",""dam"":{""name"":"""",""pk"":"""",""url"":""""},""distance"":""12 F"",""family"":"""",""grade"":""Grade II"",""horse_name"":""ALMA DORO"",""horse_pk"":""alma+doro"",""placing"":3,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""DROSSELMEYER"",""pk"":""drosselmeyer"",""url"":""https://www.pedigreequery.com/drosselmeyer""},""series_grade"":""Grade II"",""sire"":{""name"":"""",""pk"":"""",""url"":""""},""surface"":""Dirt"",""third"":{""name"":""ALMA DORO"",""pk"":""alma+doro"",""url"":""https://www.pedigreequery.com/alma+doro""},""time"":""2:28.24"",""track"":""BELMONT PARK, NY"",""trainer"":"""",""winner"":{""name"":""BIRDRUN"",""pk"":""birdrun"",""url"":""https://www.pedigreequery.com/birdrun""},""year"":""2011""}]"
american+history,https://www.pedigreequery.com/american+history,"[{""comment"":""M-11 L ( 112-137-112 ), 6TH OUR MIMS"",""country"":""UNITED STATES"",""dam"":{""name"":"""",""pk"":"""",""url"":""""},""distance"":""12 F"",""family"":"""",""grade"":""Grade I"",""horse_name"":""AMERICAN HISTORY"",""horse_pk"":""american+history"",""placing"":3,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""FOREGO"",""pk"":""forego"",""url"":""https://www.pedigreequery.com/forego""},""series_grade"":""Grade II"",""sire"":{""name"":"""",""pk"":"""",""url"":""""},""surface"":""Dirt"",""third"":{""name"":""AMERICAN HISTORY"",""pk"":""american+history"",""url"":""https://www.pedigreequery.com/american+history""},""time"":""2:26.20"",""track"":""BELMONT PARK, NY"",""trainer"":"""",""winner"":{""name"":""GREAT CONTRACTOR"",""pk"":""great+contractor"",""url"":""https://www.pedigreequery.com/great+contractor""},""year"":""1977""}]"
amerigo,https://www.pedigreequery.com/amerigo,"[{""comment"":""23-1. 4TH BALD EAGLE"",""country"":""UNITED STATES"",""dam"":{""name"":"""",""pk"":"""",""url"":""""},""distance"":""9.5 F"",""family"":"""",""grade"":"""",""horse_name"":""AMERIGO"",""horse_pk"":""amerigo"",""placing"":3,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""SWORD DANCER"",""pk"":""sword+dancer"",""url"":""https://www.pedigreequery.com/sword+dancer""},""series_grade"":""Grade II"",""sire"":{""name"":"""",""pk"":"""",""url"":""""},""surface"":""Dirt"",""third"":{""name"":""AMERIGO"",""pk"":""amerigo"",""url"":""https://www.pedigreequery.com/amerigo""},""time"":""1:56.40"",""track"":""JAMAICA, NY"",""trainer"":"""",""winner"":{""name"":""BABU"",""pk"":""babu"",""url"":""https://www.pedigreequery.com/babu""},""year"":""1959""}]"
aneroid,https://www.pedigreequery.com/aneroid,"[{""comment"":""NO"",""country"":""UNITED STATES"",""dam"":{""name"":"""",""pk"":"""",""url"":""""},""distance"":""9 F"",""family"":"""",""grade"":"""",""horse_name"":""ANEROID"",""horse_pk"":""aneroid"",""placing"":2,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""ANEROID"",""pk"":""aneroid"",""url"":""https://www.pedigreequery.com/aneroid""},""series_grade"":""Grade II"",""sire"":{""name"":"""",""pk"":"""",""url"":""""},""surface"":""Dirt"",""third"":{""name"":""MEMORY BOOK"",""pk"":""memory+book"",""url"":""https://www.pedigreequery.com/memory+book""},""time"":""1:50.20"",""track"":""BELMONT PARK, NY"",""trainer"":"""",""winner"":{""name"":""SEABISCUIT"",""pk"":""seabiscuit"",""url"":""https://www.pedigreequery.com/seabiscuit""},""year"":""1937""}]"
angliana,https://www.pedigreequery.com/angliana,"[{""comment"":""WTW BY 2 L. 3RD STRAIGHT WIN."",""country"":""UNITED STATES"",""dam"":{""name"":"""",""pk"":"""",""url"":""""},""distance"":""12 F"",""family"":"""",""grade"":""Grade II"",""horse_name"":""ANGLIANA"",""horse_pk"":""angliana"",""placing"":3,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""EVENING ATTIRE"",""pk"":""evening+attire"",""url"":""https://www.pedigreequery.com/evening+attire""},""series_grade"":""Grade II"",""sire"":{""name"":"""",""pk"":"""",""url"":""""},""surface"":""Dirt"",""third"":{""name"":""ANGLIANA"",""pk"":""angliana"",""url"":""https://www.pedigreequery.com/angliana""},""time"":""2:30.96"",""track"":""BELMONT PARK"",""trainer"":"""",""winner"":{""name"":""DELOSVIENTOS"",""pk"":""delosvientos"",""url"":""https://www.pedigreequery.com/delosvientos""},""year"":""2008""}]"
