PrimaryKey,Sire,Dam,Sex,Color,Year,Country,Family,DP,DI,CD,Starts,Wins,Places,Shows,CareerEarnings,Owner,Breeder,StateBred,WinningsText,Details,URL,Horse Name,SubjectInfoText
bolton+castle+mare,,family+number+seventy+one,M,,1640,,71,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/bolton+castle+mare,BOLTON CASTLE MARE,
old+morocco+mare,fairfax+morocco+barb,old+bald+peg,M,gr,1655,GB,6,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/old+morocco+mare,OLD MOROCCO MARE (GB),
willoughby+barb,,,H,,1655,,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/willoughby+barb,WILLOUGHBY BARB,
darcys+yellow+turk,,,H,,1658,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/darcys+yellow+turk,DARCYS YELLOW TURK (GB),
darcys+white+turk,,,H,gr,1663,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/darcys+white+turk,DARCYS WHITE TURK (GB),
places+white+turk,,,H,gr,1663,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/places+white+turk,PLACES WHITE TURK (GB),
darcy+royal+mare,,,M,,1665,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/darcy+royal+mare,DARCY ROYAL MARE (GB),
dodsworths+dam,,family+number+thirty+two,M,,1665,GB,32,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/dodsworths+dam,DODSWORTHS DAM (GB),
layton+barb,,,H,,1665,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/layton+barb,LAYTON BARB (GB),
mackerel4,,,H,,1665,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/mackerel4,MACKEREL (GB),
willoughby+barb+mare,willoughby+barb,bolton+castle+mare,M,,1665,GB,71,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/willoughby+barb+mare,WILLOUGHBY BARB MARE (GB),
family+number+eight,,,M,,1666,,8,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/family+number+eight,FAMILY NUMBER EIGHT,
sister+to+spanker,darcys+yellow+turk,old+morocco+mare,M,,1669,GB,6,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/sister+to+spanker,SISTER TO SPANKER (GB),
dodsworth4,,dodsworths+dam,H,b,1670,GB,32,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/dodsworth4,DODSWORTH (GB),
fenwick+barb,,,H,gr,1670,,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/fenwick+barb,FENWICK BARB,
natural+barb+mare5,,,M,,1670,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/natural+barb+mare5,NATURAL BARB MARE (GB),
royal+mare6,,,M,,1670,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/royal+mare6,ROYAL MARE (GB),
spanker,darcys+yellow+turk,old+morocco+mare,H,b,1670,GB,6,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/spanker,SPANKER (GB),
layton+barb+mare,layton+barb,family+number+four,M,,1672,GB,4,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/layton+barb+mare,LAYTON BARB MARE (GB),
willoughby+barb+mare3,willoughby+barb,family+number+eight,M,b,1672,GB,8,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/willoughby+barb+mare3,WILLOUGHBY BARB MARE (GB),
darcys+diamond,helmsley+turk,,H,,1675,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/darcys+diamond,DARCYS DIAMOND (GB),
mackerel+mare,mackerel4,willoughby+barb+mare,M,,1675,GB,71,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/mackerel+mare,MACKEREL MARE (GB),
sedbury+royal+mare4,,,M,,1675,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/sedbury+royal+mare4,SEDBURY ROYAL MARE (GB),
sister+to+merlins+dam,,merlins+grandam,M,,1677,GB,37,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/sister+to+merlins+dam,SISTER TO MERLINS DAM (GB),
dodsworth+mare,dodsworth4,layton+barb+mare,M,,1678,GB,4,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/dodsworth+mare,DODSWORTH MARE (GB),
oglethorpe+arabian,darcys+yellow+turk,,H,b,1678,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/oglethorpe+arabian,OGLETHORPE ARABIAN (GB),
sister+to+bay+darcy,darcys+white+turk,sister+to+spanker,M,b,1678,GB,6,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/sister+to+bay+darcy,SISTER TO BAY DARCY (GB),
brimmer,darcys+yellow+turk,darcy+royal+mare,H,,1680,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/brimmer,BRIMMER (GB),
darcys+yellow+turk+mare2,darcys+yellow+turk,natural+barb+mare5,M,,1680,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/darcys+yellow+turk+mare2,DARCYS YELLOW TURK MARE (GB),
dodsworth+mare7,dodsworth4,willoughby+barb+mare3,M,b,1680,GB,8,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/dodsworth+mare7,DODSWORTH MARE (GB),
leedes+arabian,,,H,blk,1680,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/leedes+arabian,LEEDES ARABIAN (GB),
natural+barb,,,H,b,1680,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/natural+barb,NATURAL BARB (GB),
natural+barb+mare,,,M,,1680,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/natural+barb+mare,NATURAL BARB MARE (GB),
old+clubfoot,,family+number+thirty+four,M,,1680,GB,34,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/old+clubfoot,OLD CLUBFOOT (GB),
royal+mare2,,family+number+fifteen,M,,1680,,15,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/royal+mare2,ROYAL MARE,
royal+mare4,,,M,,1680,,15,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/royal+mare4,ROYAL MARE,
sedbury+royal+mare2,,family+number+eleven,M,,1680,GB,11,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/sedbury+royal+mare2,SEDBURY ROYAL MARE (GB),
byerley+turk,,,H,blk,1682,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/byerley+turk,BYERLEY TURK (GB),
diamond+mare,darcys+diamond,sister+to+merlins+dam,M,,1683,GB,37,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/diamond+mare,DIAMOND MARE (GB),
trumpets+dam,places+white+turk,dodsworth+mare,M,,1685,GB,4,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/trumpets+dam,TRUMPET'S DAM (GB),
charming+jenny4,spanker,sister+to+bay+darcy,M,gr,1687,GB,6,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/charming+jenny4,CHARMING JENNY (GB),
whynot2,fenwick+barb,royal+mare4,H,gr,1688,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/whynot2,WHYNOT (GB),
brimmer+mare3,brimmer,diamond+mare,M,,1689,GB,37,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/brimmer+mare3,BRIMMER MARE (GB),
bustler+mare,bustler3,barb+mare,M,,1689,GB,8,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/bustler+mare,BUSTLER MARE (GB),
bustler+mare3,bustler3,mackerel+mare,M,,1690,GB,71,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/bustler+mare3,BUSTLER MARE (GB),
makeless,oglethorpe+arabian,darcys+yellow+turk+mare2,H,ch,1690,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/makeless,MAKELESS (GB),
huttons+royal+colt,helmsley+turk,sedbury+royal+mare4,H,,1691,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/huttons+royal+colt,HUTTONS ROYAL COLT (GB),
