"horse","profile_url","notes"
"miyagi+sirius","https://www.pedigreequery.com/miyagi+sirius","{
  ""2024"": {
    ""race"": ""AYAME SHO (IWATE)"",
    ""sire"": ""ANIMAL KINGDOM"",
    ""dam"": ""HEART OF SWALLOW"",
    ""trainer"": ""SHINICHI HATAKEYAMA"",
    ""fam"": ""14-a"",
    ""track"": ""MIZUSAWA"",
    ""dist"": ""1400M"",
    ""grade"": """",
    ""surf"": ""Dirt"",
    ""1st"": ""MIYAGI SIRIUS"",
    ""2nd"": ""CALIFIA"",
    ""3rd"": ""RED OPAL4"",
    ""time"": ""1:29.3"",
    ""comment"": """",
    ""position"": ""1着""
  }
}"
"califia","https://www.pedigreequery.com/califia","{
  ""2024"": {
    ""race"": ""AYAME SHO (IWATE)"",
    ""sire"": """",
    ""dam"": """",
    ""trainer"": """",
    ""fam"": """",
    ""track"": ""MIZUSAWA"",
    ""dist"": ""1400M"",
    ""grade"": """",
    ""surf"": ""Dirt"",
    ""1st"": ""MIYAGI SIRIUS"",
    ""2nd"": ""CALIFIA"",
    ""3rd"": ""RED OPAL4"",
    ""time"": ""1:29.3"",
    ""comment"": """",
    ""position"": ""2着""
  }
}"
"red+opal4","https://www.pedigreequery.com/red+opal4","{
  ""2024"": {
    ""race"": ""AYAME SHO (IWATE)"",
    ""sire"": """",
    ""dam"": """",
    ""trainer"": """",
    ""fam"": """",
    ""track"": ""MIZUSAWA"",
    ""dist"": ""1400M"",
    ""grade"": """",
    ""surf"": ""Dirt"",
    ""1st"": ""MIYAGI SIRIUS"",
    ""2nd"": ""CALIFIA"",
    ""3rd"": ""RED OPAL4"",
    ""time"": ""1:29.3"",
    ""comment"": """",
    ""position"": ""3着""
  }
}"
"miniature17","https://www.pedigreequery.com/miniature17","{
  ""2023"": {
    ""race"": ""AYAME SHO (IWATE)"",
    ""sire"": ""LOVELY DAY7"",
    ""dam"": ""ROMAN BRIDGE"",
    ""trainer"": ""YUUJI SATO"",
    ""fam"": ""4-m"",
    ""track"": ""MIZUSAWA"",
    ""dist"": ""1400M"",
    ""grade"": """",
    ""surf"": ""Dirt"",
    ""1st"": ""MINIATURE17"",
    ""2nd"": ""DAREKANO KAZENOATO"",
    ""3rd"": ""ESPRESSIVO2"",
    ""time"": ""1:29.1"",
    ""comment"": """",
    ""position"": ""1着""
  }
}"
"darekano+kazenoato","https://www.pedigreequery.com/darekano+kazenoato","{
  ""2023"": {
    ""race"": ""AYAME SHO (IWATE)"",
    ""sire"": """",
    ""dam"": """",
    ""trainer"": """",
    ""fam"": """",
    ""track"": ""MIZUSAWA"",
    ""dist"": ""1400M"",
    ""grade"": """",
    ""surf"": ""Dirt"",
    ""1st"": ""MINIATURE17"",
    ""2nd"": ""DAREKANO KAZENOATO"",
    ""3rd"": ""ESPRESSIVO2"",
    ""time"": ""1:29.1"",
    ""comment"": """",
    ""position"": ""2着""
  }
}"
"espressivo2","https://www.pedigreequery.com/espressivo2","{
  ""2023"": {
    ""race"": ""AYAME SHO (IWATE)"",
    ""sire"": """",
    ""dam"": """",
    ""trainer"": """",
    ""fam"": """",
    ""track"": ""MIZUSAWA"",
    ""dist"": ""1400M"",
    ""grade"": """",
    ""surf"": ""Dirt"",
    ""1st"": ""MINIATURE17"",
    ""2nd"": ""DAREKANO KAZENOATO"",
    ""3rd"": ""ESPRESSIVO2"",
    ""time"": ""1:29.1"",
    ""comment"": """",
    ""position"": ""3着""
  }
}"
"under+karad","https://www.pedigreequery.com/under+karad","{
  ""1982"": {
    ""race"": ""AYAME SHO (IWATE)"",
    ""sire"": ""KARAD"",
    ""dam"": ""U S QUEEN"",
    ""trainer"": """",
    ""fam"": ""6"",
    ""track"": ""MIZUSAWA"",
    ""dist"": ""1600M"",
    ""grade"": """",
    ""surf"": ""Dirt"",
    ""1st"": ""UNDER KARAD"",
    ""2nd"": ""YOSHI BEAM"",
    ""3rd"": ""BLACK LILY3"",
    ""time"": ""1:44.8"",
    ""comment"": """",
    ""position"": ""1着""
  },
  ""1981"": {
    ""race"": ""AYAME SHO (IWATE)"",
    ""sire"": ""KARAD"",
    ""dam"": ""U S QUEEN"",
    ""trainer"": """",
    ""fam"": ""6"",
    ""track"": ""MIZUSAWA"",
    ""dist"": ""1750M"",
    ""grade"": """",
    ""surf"": ""Dirt"",
    ""1st"": ""UNDER KARAD"",
    ""2nd"": ""YOSHI BEAM"",
    ""3rd"": ""BLACK LILY3"",
    ""time"": ""1:44.8"",
    ""comment"": """",
    ""position"": ""1着""
  }
}"
"yoshi+beam","https://www.pedigreequery.com/yoshi+beam","{
  ""1982"": {
    ""race"": ""AYAME SHO (IWATE)"",
    ""sire"": """",
    ""dam"": """",
    ""trainer"": """",
    ""fam"": """",
    ""track"": ""MIZUSAWA"",
    ""dist"": ""1600M"",
    ""grade"": """",
    ""surf"": ""Dirt"",
    ""1st"": ""UNDER KARAD"",
    ""2nd"": ""YOSHI BEAM"",
    ""3rd"": ""BLACK LILY3"",
    ""time"": ""1:44.8"",
    ""comment"": """",
    ""position"": ""2着""
  },
  ""1981"": {
    ""race"": ""AYAME SHO (IWATE)"",
    ""sire"": """",
    ""dam"": """",
    ""trainer"": """",
    ""fam"": """",
    ""track"": ""MIZUSAWA"",
    ""dist"": ""1750M"",
    ""grade"": """",
    ""surf"": ""Dirt"",
    ""1st"": ""UNDER KARAD"",
    ""2nd"": ""YOSHI BEAM"",
    ""3rd"": ""BLACK LILY3"",
    ""time"": ""1:44.8"",
    ""comment"": """",
    ""position"": ""2着""
  }
}"
"black+lily3","https://www.pedigreequery.com/black+lily3","{
  ""1982"": {
    ""race"": ""AYAME SHO (IWATE)"",
    ""sire"": """",
    ""dam"": """",
    ""trainer"": """",
    ""fam"": """",
    ""track"": ""MIZUSAWA"",
    ""dist"": ""1600M"",
    ""grade"": """",
    ""surf"": ""Dirt"",
    ""1st"": ""UNDER KARAD"",
    ""2nd"": ""YOSHI BEAM"",
    ""3rd"": ""BLACK LILY3"",
    ""time"": ""1:44.8"",
    ""comment"": """",
    ""position"": ""3着""
  },
  ""1981"": {
    ""race"": ""AYAME SHO (IWATE)"",
    ""sire"": """",
    ""dam"": """",
    ""trainer"": """",
    ""fam"": """",
    ""track"": ""MIZUSAWA"",
    ""dist"": ""1750M"",
    ""grade"": """",
    ""surf"": ""Dirt"",
    ""1st"": ""UNDER KARAD"",
    ""2nd"": ""YOSHI BEAM"",
    ""3rd"": ""BLACK LILY3"",
    ""time"": ""1:44.8"",
    ""comment"": """",
    ""position"": ""3着""
  }
}"
"san+moleros","https://www.pedigreequery.com/san+moleros","{
  ""1980"": {
    ""race"": ""AYAME SHO (IWATE)"",
    ""sire"": ""SIR PENFRO"",
    ""dam"": ""TOBI NOBORI"",
    ""trainer"": """",
    ""fam"": ""7-c"",
    ""track"": ""MIZUSAWA"",
    ""dist"": ""1600M"",
    ""grade"": """",
    ""surf"": ""Dirt"",
    ""1st"": ""SAN MOLEROS"",
    ""2nd"": ""KITANO MOUTIERS"",
    ""3rd"": ""ASAKA MISS"",
    ""time"": ""1:47.9"",
    ""comment"": """",
    ""position"": ""1着""
  }
}"
